RTO4 ID	Orthogroup	Combined Annotations	Essential	Conserved Basidiomycete Essential	insert / kb	mapped inserts	ambiguously mapping inserts	total inserts	Sc Essential	An Essential	Cn Essential	Sp Essential	Nc Het	TotEssential
12050	RTO3OG1705	"K07203: MTOR, FRAP, TOR; serine/threonine-protein kinase mTOR"	Yes	no	0.355	3	0	3	1	1	0	1	1	4
15415	RTO3OG2162	"K07466: RFA1, RPA1, rpa; replication factor A1"	Yes	no	0.426	1	0	1	1	0	1	1	1	4
13760	RTO3OG1230	KOG0166: Karyopherin (importin) alpha	Yes	no	0.43	1	1	2	1	1	0	1	1	4
10303	RTO3OG2505	K00654: SPT; serine palmitoyltransferase	Yes	no	0.454	1	0	1	1	1	0	1	1	4
8561	RTO3OG2449	"K14573: NOP4, RBM28; nucleolar protein 4"	Yes	no	0.522	2	0	2	1	0	1	1	1	4
13952	RTO3OG2996	"K14780: DHX37, DHR1; ATP-dependent RNA helicase DHX37/DHR1"	Yes	no	0.588	2	0	2	1	0	1	1	1	4
9843	RTO3OG1083	K07374: TUBA; tubulin alpha	Yes	no	0.591	1	0	1	1	1	0	1	1	4
9378	RTO3OG3274	"K16569: TUBGCP2, GCP2; gamma-tubulin complex component 2"	Yes	no	0.641	2	0	2	1	1	0	1	1	4
13557	RTO3OG1888	"K14290: XPO1, CRM1; exportin-1"	Yes	no	0.642	3	0	3	1	1	0	1	1	4
16526	RTO3OG2381	K14004: SEC13; protein transport protein SEC13	Yes	no	0.688	1	0	1	1	1	0	1	1	4
14377	RTO3OG3513	K13939: FOL1; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase	Yes	no	0.741	2	0	2	1	0	1	1	1	4
9983	RTO3OG1021	K03283: HSPA1_8; heat shock 70kDa protein 1/8	Yes	no	0.752	2	0	2	1	0	1	1	1	4
12922	RTO3OG2073	"K12585: DIS3, RRP44; exosome complex exonuclease DIS3/RRP44"	Yes	no	0.788	3	0	3	1	0	1	1	1	4
14383	RTO3OG3510	"K12619: XRN2, RAT1; 5'-3' exoribonuclease 2"	Yes	no	0.81	3	0	3	1	0	1	1	1	4
9048	RTO3OG1220	"K03094: SKP1, CBF3D; S-phase kinase-associated protein 1"	Yes	no	0.816	1	0	1	1	1	0	1	1	4
16072	RTO3OG2595	K02214: CDC7; cell division control protein 7	Yes	no	0.823	2	0	2	1	1	0	1	1	4
12087	RTO3OG1021	K04043: dnaK; molecular chaperone DnaK	Yes	no	0.896	2	0	2	1	0	1	1	1	4
10858	RTO3OG1957	"K14297: NUP98, ADAR2, NUP116; nuclear pore complex protein Nup98-Nup96"	Yes	no	0.915	3	0	3	1	1	0	1	1	4
15138	RTO3OG2658	"K03350: APC3, CDC27; anaphase-promoting complex subunit 3"	Yes	no	0.941	3	0	3	1	1	0	1	1	4
14250	RTO3OG1362	"K15732: CTDP1, FCP1; RNA polymerase II subunit A C-terminal domain phosphatase"	Yes	no	1.252	4	0	4	1	1	0	1	1	4
14970	RTO3OG1634	K07953: SAR1; GTP-binding protein SAR1	Yes	no	1.252	2	0	2	1	1	0	1	1	4
13218	RTO3OG4625	K02309: DBF4; regulatory subunit for Cdc7p protein kinase	Yes	no	1.279	3	0	3	1	1	0	1	1	4
15542	RTO3OG2530	"K11131: DKC1, NOLA4, CBF5; H/ACA ribonucleoprotein complex subunit 4"	Yes	no	1.481	3	0	3	1	1	0	1	1	4
14586	RTO3OG2683	K03687: GRPE; molecular chaperone GrpE	Yes	no	1.736	1	0	1	1	0	1	1	1	4
11965	RTO3OG3492	"K15562: BUR1, SGV1; serine/threonine-protein kinase BUR1"	Yes	no	1.9	4	0	4	1	1	0	1	1	4
9683	RTO3OG1017	K12813: DHX16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	Yes	no	0	0	0	0	1	0	0	1	1	3
15395	RTO3OG1112	"K13025: EIF4A3, FAL1; ATP-dependent RNA helicase"	Yes	no	0	0	0	0	1	0	0	1	1	3
9506	RTO3OG1131	"K12598: MTR4, SKIV2L2; ATP-dependent RNA helicase DOB1"	Yes	no	0	0	0	0	1	0	0	1	1	3
10709	RTO3OG1132	"K03021: RPC2, POLR3B; DNA-directed RNA polymerase III subunit RPC2"	Yes	no	0	0	0	0	1	0	0	1	1	3
14450	RTO3OG1132	"K03010: RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2"	Yes	no	0	0	0	0	1	0	0	1	1	3
10954	RTO3OG1253	K05765: CFL; cofilin	Yes	no	0	0	0	0	1	0	0	1	1	3
9916	RTO3OG1356	K07937: ARF1; ADP-ribosylation factor 1	Yes	no	0	0	0	0	0	1	0	1	1	3
12082	RTO3OG1390	K14006: SEC23; protein transport protein SEC23	Yes	no	0	0	0	0	1	0	0	1	1	3
16640	RTO3OG1391	"K07750: E1.14.13.72, SC4MOL, ERG25; methylsterol monooxygenase"	Yes	no	0	0	0	0	1	0	0	1	1	3
10000	RTO3OG1393	"K00036: G6PD, zwf; glucose-6-phosphate 1-dehydrogenase"	Yes	no	0	0	0	0	1	0	0	1	1	3
10148	RTO3OG1400	K03097: CSNK2A; casein kinase II subunit alpha	Yes	no	0	0	0	0	0	1	0	1	1	3
14237	RTO3OG1410	K10808: RRM2; ribonucleoside-diphosphate reductase subunit M2	Yes	no	0	0	0	0	1	0	0	1	1	3
9150	RTO3OG1467	"K02917: RP-L35Ae, RPL35A; large subunit ribosomal protein L35Ae"	Yes	no	0	0	0	0	1	0	0	1	1	3
13190	RTO3OG1492	"K13800: CMPK1, UMPK; UMP-CMP kinase"	Yes	no	0	0	0	0	1	0	0	1	1	3
14514	RTO3OG1581	"K02925: RP-L3e, RPL3; large subunit ribosomal protein L3e"	Yes	no	0	0	0	0	1	0	0	1	1	3
14941	RTO3OG1585	"K20472: COPZ, RET3; coatomer subunit zeta"	Yes	no	0	0	0	0	1	0	0	1	1	3
10079	RTO3OG1586	"K01887: RARS, argS; arginyl-tRNA synthetase"	Yes	no	0	0	0	0	1	0	0	1	1	3
12099	RTO3OG1611	"K00820: glmS, GFPT; glucosamine--fructose-6-phosphate aminotransferase (isomerizing)"	Yes	no	0	0	5	5	1	0	0	1	1	3
12881	RTO3OG1660	"K00981: E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase"	Yes	no	0	0	0	0	1	0	0	1	1	3
12649	RTO3OG1665	"K11778: DHDDS, RER2, SRT1; ditrans,polycis-polyprenyl diphosphate synthase"	Yes	no	0	0	0	0	1	0	0	1	1	3
12684	RTO3OG1669	"K03178: UBE1, UBA1; ubiquitin-activating enzyme E1"	Yes	no	0	0	0	0	1	0	0	1	1	3
12610	RTO3OG1671	"K02985: RP-S3e, RPS3; small subunit ribosomal protein S3e"	Yes	no	0	0	0	0	1	0	0	1	1	3
10026	RTO3OG1679	"K02893: RP-L23Ae, RPL23A; large subunit ribosomal protein L23Ae"	Yes	no	0	0	0	0	1	0	0	1	1	3
14261	RTO3OG1721	"KOG1748: Acyl carrier protein/NADH-ubiquinone oxidoreductase, NDUFAB1/SDAP subunit"	Yes	no	0	0	0	0	1	0	0	1	1	3
14966	RTO3OG1755	K11518: TOM40; mitochondrial import receptor subunit TOM40	Yes	no	0	0	0	0	1	0	0	1	1	3
11972	RTO3OG1760	K10950: ERO1L; ERO1-like protein alpha	Yes	no	0	0	0	0	1	0	0	1	1	3
10153	RTO3OG1768	"K04077: groEL, HSPD1; chaperonin GroEL"	Yes	no	0	0	0	0	1	0	0	1	1	3
11752	RTO3OG1774	"K00963: UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase"	Yes	no	0	0	0	0	1	0	0	1	1	3
13636	RTO3OG1788	K10389: TUBG; tubulin gamma	Yes	no	0	0	0	0	1	1	0	1	0	3
14382	RTO3OG1809	"K14785: ESF2, ABT1; ESF2/ABP1 family protein"	Yes	no	0	0	0	0	1	0	0	1	1	3
13729	RTO3OG1868	"K00511: SQLE, ERG1; squalene monooxygenase"	Yes	no	0	0	0	0	1	0	0	1	1	3
10046	RTO3OG1886	K09498: CCT6; T-complex protein 1 subunit zeta	Yes	no	0	0	0	0	1	0	0	1	1	3
10628	RTO3OG1986	"K03027: RPC40, POLR1C; DNA-directed RNA polymerases I and III subunit RPAC1"	Yes	no	0	0	0	0	1	0	0	1	1	3
13882	RTO3OG1988	"K03031: PSMD8, RPN12; 26S proteasome regulatory subunit N12"	Yes	no	0	0	0	0	1	0	0	1	1	3
16406	RTO3OG1999	"K05757: ARPC1A_B; actin related protein 2/3 complex, subunit 1A/1B"	Yes	no	0	0	0	0	1	0	0	1	1	3
9225	RTO3OG2015	K14565: NOP58; nucleolar protein 58	Yes	no	0	0	0	0	1	0	0	1	1	3
14924	RTO3OG2033	K14793: RRP9; ribosomal RNA-processing protein 9	Yes	no	0	0	0	0	1	0	0	1	1	3
13883	RTO3OG2063	K02738: PSMB6; 20S proteasome subunit beta 1	Yes	no	0	0	0	0	1	0	0	1	1	3
8671	RTO3OG2069	"K00222: TM7SF2, ERG24; Delta14-sterol reductase"	Yes	no	0	0	0	0	1	0	0	1	1	3
10287	RTO3OG2070	"K11340: ACTL6A, INO80K; actin-like protein 6A"	Yes	no	0	0	0	0	1	0	0	1	1	3
11797	RTO3OG2083	K06636: SMC1; structural maintenance of chromosome 1	Yes	no	0	0	0	0	1	0	0	1	1	3
14707	RTO3OG2112	"K03265: ETF1, ERF1; peptide chain release factor subunit 1"	Yes	no	0	0	0	0	1	0	0	1	1	3
14275	RTO3OG2115	K02726: PSMA2; 20S proteasome subunit alpha 2	Yes	no	0	0	0	0	1	0	0	1	1	3
15504	RTO3OG2132	"K01880: GARS, glyS1; glycyl-tRNA synthetase"	Yes	no	0	0	0	0	1	0	0	1	1	3
9446	RTO3OG2141	K00784: rnz; ribonuclease Z	Yes	no	0	0	0	0	1	0	0	1	1	3
15114	RTO3OG2154	KOG3381: Uncharacterized conserved protein	Yes	no	0	0	0	0	1	0	0	1	1	3
8421	RTO3OG2161	"K03014: RPB6, POLR2F; DNA-directed RNA polymerases I, II, and III subunit RPABC2"	Yes	no	0	0	0	0	1	0	0	1	1	3
11656	RTO3OG2176	K03240: EIF2B5; translation initiation factor eIF-2B subunit epsilon	Yes	no	0	0	0	0	1	0	0	1	1	3
10956	RTO3OG2180	K03246: EIF3I; translation initiation factor 3 subunit I	Yes	no	0	0	0	0	1	0	0	1	1	3
13688	RTO3OG2191	"K03038: PSMD7, RPN8; 26S proteasome regulatory subunit N8"	Yes	no	0	0	0	0	1	0	0	1	1	3
11717	RTO3OG2194	"K13179: DDX18, HAS1; ATP-dependent RNA helicase DDX18/HAS1"	Yes	no	0	0	0	0	1	0	0	1	1	3
16421	RTO3OG2233	"K03037: PSMD6, RPN7; 26S proteasome regulatory subunit N7"	Yes	no	0	0	0	0	1	0	0	1	1	3
15990	RTO3OG2241	K17496: TIM50; mitochondrial import inner membrane translocase subunit TIM50	Yes	no	0	0	0	0	1	0	0	1	1	3
11973	RTO3OG2248	"K01872: AARS, alaS; alanyl-tRNA synthetase"	Yes	no	0	0	0	0	1	0	0	1	1	3
9598	RTO3OG2256	"K03267: ERF3, GSPT; peptide chain release factor subunit 3"	Yes	no	0	0	0	0	1	0	0	1	1	3
11890	RTO3OG2267	"K03008: RPB11, POLR2J; DNA-directed RNA polymerase II subunit RPB11"	Yes	no	0	0	0	0	1	0	0	1	1	3
14948	RTO3OG2277	"K11098: SNRPF, SMF; small nuclear ribonucleoprotein F"	Yes	no	0	0	0	0	1	0	0	1	1	3
13758	RTO3OG2328	"K03065: PSMC3, RPT5; 26S proteasome regulatory subunit T5"	Yes	no	0	0	0	0	1	0	0	1	1	3
8878	RTO3OG2332	"K01922: PPCS, coaB; phosphopantothenate-cysteine ligase"	Yes	no	0	0	0	0	1	0	0	1	1	3
8717	RTO3OG2336	"K12825: SF3A1, SAP114; splicing factor 3A subunit 1"	Yes	no	0	0	0	0	1	0	0	1	1	3
16008	RTO3OG2342	K12622: LSM3; U6 snRNA-associated Sm-like protein LSm3	Yes	no	0	0	0	0	1	0	0	1	1	3
14867	RTO3OG2352	"K12668: OST2, DAD1; oligosaccharyltransferase complex subunit epsilon"	Yes	no	0	0	0	0	1	0	0	1	1	3
8539	RTO3OG2387	K03237: EIF2S1; translation initiation factor 2 subunit 1	Yes	no	0	0	0	0	1	0	0	1	1	3
12601	RTO3OG2394	"K11096: SNRPD2, SMD2; small nuclear ribonucleoprotein D2"	Yes	no	0	0	0	0	1	0	0	1	1	3
16385	RTO3OG2395	"K11087: SNRPD1, SMD1; small nuclear ribonucleoprotein D1"	Yes	no	0	0	0	0	1	0	0	1	1	3
15561	RTO3OG2400	"K03678: RRP45, EXOSC9; exosome complex component RRP45"	Yes	no	0	0	0	0	1	0	0	1	1	3
12944	RTO3OG2417	K00787: FDPS; farnesyl diphosphate synthase	Yes	no	0	0	0	0	1	0	0	1	1	3
15467	RTO3OG2419	"K12845: SNU13, NHP2L; U4/U6 small nuclear ribonucleoprotein SNU13"	Yes	no	0	0	0	0	1	0	0	1	1	3
14648	RTO3OG2420	K14050: RABGGTA; geranylgeranyl transferase type-2 subunit alpha	Yes	no	0	0	0	0	1	0	0	1	1	3
16591	RTO3OG2425	K00801: FDFT1; farnesyl-diphosphate farnesyltransferase	Yes	no	0	0	0	0	1	0	0	1	1	3
8767	RTO3OG2429	K06874: K06874; zinc finger protein	Yes	no	0	0	0	0	1	0	0	1	1	3
16086	RTO3OG2431	K08516: YKT6; synaptobrevin homolog YKT6	Yes	no	0	0	0	0	1	0	0	1	1	3
9525	RTO3OG2444	K14818: SQT1; ribosome assembly protein SQT1	Yes	no	0	0	0	0	1	0	0	1	1	3
10198	RTO3OG2447	"K00809: DHPS, dys; deoxyhypusine synthase"	Yes	no	0	0	0	0	1	0	0	1	1	3
16422	RTO3OG2515	"K03036: PSMD11, RPN6; 26S proteasome regulatory subunit N6"	Yes	no	0	0	0	0	1	0	0	1	1	3
