ID	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	length	inserts	essentialOrtholog	insertDensity
8463	mRNA_95	1	scaffold_1	224693	228325	-	8463	K14408 CSTF3, RNA14 cleavage stimulation factor subunit 3	0.6312	43	3632	3	1	0.825991189427
8464	mRNA_96	1	scaffold_1	228445	229589	+	8464	KOG4031 Vesicle coat protein clathrin, light chain	0.621	14	1144	0	1	0.0
8465	mRNA_97	1	scaffold_1	229785	233167	-	8465	KOG2234 Predicted UDP-galactose transporter	0.6181	40	3382	32	0	9.46185688941
8466	mRNA_98	1	scaffold_1	233874	234659	-	8466	Hypothetical Protein	0.6514	10	785	12	0	15.2866242038
8467	mRNA_99	1	scaffold_1	235594	240654	+	8467	HMMPfam-Fungal cellulose binding domain-PF00734,HMMPfam-GlcNAc-PI de-N-acetylase-PF02585,ProSitePatterns-CBM1 (carbohydrate binding type-1) domain signature.-PS00562,ProSiteProfiles-Coagulation factors 5/8 type C domain (FA58C) profile.-PS50022,ProSiteProfiles-CBM1 (carbohydrate binding type-1) domain profile.-PS51164,SMART-Fungal-type cellulose-binding domain-SM00236,SUPERFAMILY--SSF102588,SUPERFAMILY--SSF49785,SUPERFAMILY--SSF57180	0.6382	68	5060	44	0	8.69565217391
8468	mRNA_100	1	scaffold_1	241337	243142	-	8468	K03686 dnaJ molecular chaperone DnaJ	0.6251	17	1805	1	1	0.554016620499
8469	mRNA_101	1	scaffold_1	243748	246867	+	8469	K18719 NUP82 nucleoporin NUP82	0.625	25	3119	3	1	0.961846745752
8470	mRNA_102	1	scaffold_1	247531	248783	+	8470	HMMPfam-PQ loop repeat-PF04193,SMART-Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins.-SM00679	0.6113	22	1252	24	0	19.1693290735
8471	mRNA_103	1	scaffold_1	248905	249863	-	8471	Hypothetical Protein	0.6173	13	958	20	0	20.8768267223
8472	mRNA_104	1	scaffold_1	250227	251681	-	8472	Hypothetical Protein	0.6034	28	1454	21	0	14.4429160935
8473	mRNA_105	1	scaffold_1	251697	252245	-	8473	K08504 BET1 blocked early in transport 1	0.5792	7	548	0	1	0.0
8474	mRNA_106	1	scaffold_1	252623	256756	+	8474	K15201 GTP3C3, TFC4 general transcription factor 3C polypeptide 3 (transcription factor C subunit 4)	0.6258	55	4133	0	1	0.0
8475	mRNA_107	1	scaffold_1	257033	257891	-	8475	K08592 SENP1 sentrin-specific protease 1	0.5925	11	858	2	1	2.331002331
8476	mRNA_108	1	scaffold_1	258330	258956	+	8476	Hypothetical Protein	0.6093	7	626	4	0	6.38977635783
8477	mRNA_109	1	scaffold_1	259065	259869	-	8477	Hypothetical Protein	0.6286	8	804	8	0	9.95024875622
8478	mRNA_110	1	scaffold_1	260137	260817	+	8478	KOG3399 Predicted Yippee-type zinc-binding protein	0.5932	8	680	17	0	25.0
8479	mRNA_111	1	scaffold_1	260930	263760	-	8479	KOG0254 Predicted transporter (major facilitator superfamily)	0.6008	56	2830	40	0	14.1342756184
8480	mRNA_112	1	scaffold_1	264157	266973	+	8480	K10899 RECQL ATP-dependent DNA helicase Q1	0.6319	30	2816	58	0	20.5965909091
8481	mRNA_113	1	scaffold_1	267088	267405	+	8481	KOG0209 P-type ATPase	0.6258	4	317	6	0	18.927444795
8482	mRNA_114	1	scaffold_1	267754	270066	-	8482	K10862 TDP1 tyrosyl-DNA phosphodiesterase 1	0.6208	27	2312	31	0	13.4083044983
8483	mRNA_115	1	scaffold_1	270395	274744	-	8483	K14950 ATP13A1 cation-transporting ATPase 13A1	0.6101	55	4349	38	0	8.73764083697
8484	mRNA_116	1	scaffold_1	275050	276428	-	8484	K06072 DOHH deoxyhypusine monooxygenase	0.62	16	1378	0	0	0.0
8485	mRNA_117	1	scaffold_1	276984	278095	+	8485	K14815 MRT4 mRNA turnover protein 4	0.6106	7	1111	0	0	0.0
8486	mRNA_118	1	scaffold_1	278432	278981	+	8486	HMMPfam-Protein of unknown function (DUF1674)-PF07896	0.6364	3	549	5	0	9.10746812386
8487	mRNA_119	1	scaffold_1	280209	281206	-	8487	KOG3595 Dyneins, heavy chain	0.6433	5	997	0	0	0.0
8488	mRNA_120	1	scaffold_1	281260	295239	-	8488	K10413 DYNC1H dynein heavy chain 1, cytosolic	0.6322	134	13979	1	1	0.0715358752414
8489	mRNA_121	1	scaffold_1	295395	296134	+	8489	BLAST Pc20g03530 [Penicillium rubens Wisconsin 54-1255]	0.6311	6	739	5	0	6.76589986468
8490	mRNA_122	1	scaffold_1	296451	297684	-	8490	HMMPfam-Rare lipoprotein A (RlpA)-like double-psi beta-barrel-PF03330,SUPERFAMILY--SSF50685	0.6216	17	1233	4	0	3.24412003244
8491	mRNA_123	1	scaffold_1	297739	298245	+	8491	Hypothetical Protein	0.6312	1	506	33	0	65.2173913043
8492	mRNA_124	1	scaffold_1	298374	299465	-	8492	HMMPfam-Trehalose utilisation-PF06283,SUPERFAMILY--SSF52317	0.5925	16	1091	10	1	9.16590284143
8493	mRNA_125	1	scaffold_1	299830	300571	+	8493	HMMPfam-Alpha/beta hydrolase family-PF12695,SUPERFAMILY--SSF53474	0.6199	11	741	3	0	4.04858299595
8494	mRNA_126	1	scaffold_1	300775	301342	-	8494	Hypothetical Protein	0.6056	5	567	17	0	29.9823633157
8495	mRNA_127	1	scaffold_1	304252	307207	+	8495	K11229 BCK1 mitogen-activated protein kinase kinase kinase	0.6272	32	2955	34	1	11.5059221658
8496	mRNA_128	1	scaffold_1	307596	312359	+	8496	K11592 DICER1, DCR1 endoribonuclease Dicer	0.6232	57	4763	73	0	15.3264749108
8497	mRNA_129	1	scaffold_1	312995	315210	+	8497	SUPERFAMILY--SSF56112	0.6074	31	2215	30	0	13.5440180587
8498	mRNA_130	1	scaffold_1	315301	316369	-	8498	BLAST 60S ribosomal protein L18-B [Termitomyces sp. J132]	0.6071	21	1068	2	0	1.87265917603
8499	mRNA_131	1	scaffold_1	316556	317725	-	8499	K11092 SNRPA1 U2 small nuclear ribonucleoprotein A'	0.6197	6	1169	4	1	3.42172797263
8500	mRNA_132	1	scaffold_1	318013	320034	+	8500	K16944 SEPT7, CDC3 septin 7	0.6182	19	2021	19	1	9.40128649184
8501	mRNA_133	1	scaffold_1	320453	321837	-	8501	Hypothetical Protein	0.613	17	1384	14	0	10.1156069364
8502	mRNA_134	1	scaffold_1	322161	322511	+	8502	Hypothetical Protein	0.6068	4	350	6	0	17.1428571429
8503	mRNA_135	1	scaffold_1	323114	325275	-	8503	HMMPfam-Protein kinase domain-PF00069,ProSiteProfiles-Protein kinase domain profile.-PS50011,SUPERFAMILY--SSF56112	0.6041	38	2161	23	0	10.6432207311
8504	mRNA_136	1	scaffold_1	326050	327675	-	8504	HMMPfam-Aldose 1-epimerase-PF01263,SUPERFAMILY--SSF74650	0.6187	15	1625	23	0	14.1538461538
8505	mRNA_137	1	scaffold_1	328204	331764	+	8505	SUPERFAMILY--SSF53474	0.6456	33	3560	29	0	8.14606741573
8506	mRNA_138	1	scaffold_1	332077	333617	+	8506	KOG4473 Uncharacterized membrane protein	0.6301	13	1540	16	0	10.3896103896
8507	mRNA_139	1	scaffold_1	333941	336511	-	8507	K14538 NUG1, GNL3 nuclear GTP-binding protein	0.62	20	2570	7	1	2.72373540856
8508	mRNA_140	1	scaffold_1	336645	339470	+	8508	K14571 RIX7, NVL ribosome biogenesis ATPase	0.627	20	2825	0	1	0.0
8509	mRNA_141	1	scaffold_1	339978	342089	+	8509	Hypothetical Protein	0.6136	25	2111	22	0	10.4216011369
8510	mRNA_142	1	scaffold_1	343005	355699	+	8510	HMMPfam-Protein of unknown function (DUF3712)-PF12505	0.6219	146	12694	245	0	19.3004569088
8511	mRNA_143	1	scaffold_1	356168	357922	-	8511	KOG4136 Predicted mitochondrial cholesterol transporter	0.6496	24	1754	15	0	8.55188141391
8512	mRNA_144	1	scaffold_1	358360	365387	+	8512	K00698 CHS1 chitin synthase	0.631	95	7027	83	0	11.8115838907
8513	mRNA_145	1	scaffold_1	365672	367146	+	8513	KOG3299 Uncharacterized conserved protein	0.6149	18	1474	15	0	10.1763907734
8514	mRNA_146	1	scaffold_1	367275	368042	-	8514	HMMPfam-PB1 domain-PF00564,SUPERFAMILY--SSF54277	0.6224	8	767	5	0	6.51890482399
8515	mRNA_147	1	scaffold_1	368683	371935	+	8515	K20120 BIN3 bridging integrator 3	0.6428	46	3252	15	0	4.61254612546
8516	mRNA_148	1	scaffold_1	372141	374463	-	8516	KOG0254 Predicted transporter (major facilitator superfamily)	0.6035	36	2322	40	0	17.2265288544
8517	mRNA_149	1	scaffold_1	374872	375333	+	8517	Hypothetical Protein	0.6126	3	461	9	0	19.5227765727
8518	mRNA_150	1	scaffold_1	375753	378108	-	8518	HMMPfam-Beta-glucan synthesis-associated protein (SKN1)-PF03935,SUPERFAMILY--SSF49899	0.6108	35	2355	23	1	9.76645435244
8519	mRNA_151	1	scaffold_1	379065	379994	-	8519	HMMPfam-Alpha/beta hydrolase family-PF12697,SUPERFAMILY--SSF53474	0.6097	10	929	16	0	17.2228202368
8520	mRNA_152	1	scaffold_1	380241	381290	+	8520	BLAST Midasin [Pteropus alecto]	0.64	12	1049	64	0	61.0104861773
8521	mRNA_153	1	scaffold_1	383470	384442	-	8521	KOG4826 C-8,7 sterol isomerase	0.5992	20	972	15	0	15.4320987654
8522	mRNA_154	1	scaffold_1	384974	388118	-	8522	Hypothetical Protein	0.6502	29	3144	25	0	7.95165394402
8523	mRNA_155	1	scaffold_1	388626	389791	+	8523	K20069 NECAP1_2 adaptin ear-binding coat-associated protein 1/2	0.5969	16	1165	22	0	18.8841201717
8524	mRNA_156	1	scaffold_1	390124	390698	+	8524	Hypothetical Protein	0.5652	6	574	6	0	10.4529616725
8525	mRNA_157	1	scaffold_1	391378	392552	+	8525	KOG3066 Translin-associated protein X	0.6111	18	1174	13	0	11.073253833
8526	mRNA_158	1	scaffold_1	392732	393571	-	8526	BLAST expressed protein [Cryptococcus neoformans var. neofo...	0.6238	7	839	5	0	5.95947556615
8527	mRNA_159	1	scaffold_1	394494	395592	+	8527	Hypothetical Protein	0.5951	21	1098	15	0	13.6612021858
8528	mRNA_160	1	scaffold_1	396327	398883	-	8528	K05349 bglX beta-glucosidase	0.6124	43	2556	26	0	10.172143975
8529	mRNA_161	1	scaffold_1	399773	400854	-	8529	KOG1727 Microtubule-binding protein (translationally controlled tumor protein)	0.6109	14	1081	3	0	2.77520814061
8530	mRNA_162	1	scaffold_1	401367	403016	+	8530	BLAST NADH dehydrogenase [ubiquinone] 1 alpha subcomplex su...	0.6503	13	1649	17	0	10.3092783505
8531	mRNA_163	1	scaffold_1	403276	404295	-	8531	Hypothetical Protein	0.598	14	1019	7	0	6.86947988224
8532	mRNA_164	1	scaffold_1	404595	407143	-	8532	Hypothetical Protein	0.6061	29	2548	33	0	12.9513343799
8533	mRNA_165	1	scaffold_1	407555	409013	+	8533	K12602 WDR61, REC14, SKI8 WD repeat-containing protein 61	0.6299	19	1458	17	0	11.6598079561
8534	mRNA_166	1	scaffold_1	409327	410564	+	8534	K07936 RAN GTP-binding nuclear protein Ran	0.6155	15	1237	0	1	0.0
8535	mRNA_167	1	scaffold_1	411108	413532	+	8535	KOG1471 Phosphatidylinositol transfer protein SEC14 and related proteins	0.6256	24	2424	39	0	16.0891089109
8536	mRNA_168	1	scaffold_1	413984	414971	-	8536	K01598 PPCDC, coaC phosphopantothenoylcysteine decarboxylase	0.5951	20	987	0	1	0.0
8537	mRNA_169	1	scaffold_1	415068	417360	+	8537	K14306 NUP62, NSP1 nuclear pore complex protein Nup62	0.6529	23	2292	3	0	1.30890052356
8538	mRNA_170	1	scaffold_1	417604	419070	-	8538	K12179 COPS6, CSN6 COP9 signalosome complex subunit 6	0.6046	15	1466	15	0	10.2319236016
8539	mRNA_171	1	scaffold_1	419232	420600	+	8539	K03237 EIF2S1 translation initiation factor 2 subunit 1	0.6048	15	1368	0	1	0.0
8540	mRNA_172	1	scaffold_1	421100	422861	+	8540	K14264 BNA3 kynurenine aminotransferase	0.6175	20	1761	17	0	9.65360590574
8541	mRNA_173	1	scaffold_1	423243	425969	-	8541	ProSiteProfiles-F-box domain profile.-PS50181	0.6219	41	2726	19	0	6.96991929567
8542	mRNA_174	1	scaffold_1	426426	428792	+	8542	HMMPfam-Glyoxal oxidase N-terminus-PF07250,HMMPfam-Domain of unknown function (DUF1929)-PF09118,SUPERFAMILY--SSF50965,SUPERFAMILY--SSF81296	0.6202	40	2366	11	0	4.64919695689
8543	mRNA_175	1	scaffold_1	429470	431854	-	8543	KOG2533 Permease of the major facilitator superfamily	0.6067	45	2384	24	0	10.067114094
8544	mRNA_176	1	scaffold_1	432530	433945	+	8544	HMMPfam-Alpha/beta hydrolase family-PF12697,SUPERFAMILY--SSF53474	0.6299	16	1415	10	0	7.06713780919
8545	mRNA_177	1	scaffold_1	434117	434779	-	8545	KOG4096 Uncharacterized conserved protein	0.6365	9	662	5	0	7.55287009063
